iteration,timestamp,model_type,evaluated_images,iou_threshold,precision,recall,f1_score,mean_iou,map,matching_rate,total_detections,total_ground_truths,total_matched_pairs,unmatched_detections,unmatched_gts,num_classes,classes_perfect_score,classes_zero_score
layer2.2.conv2_iter_13_eval_set1,2025-08-01 10:53:29,pruned_network,50,0.5,0.6370967741935484,0.6370967741935484,0.6370967741935484,0.5124298739683238,0.5635619032358163,1.0,124,124,124,0,0,43,21,13
layer2.3.conv1_iter_14_training_set,2025-08-01 20:07:22,pruned_network,50,0.5,0.6353591160220995,0.6353591160220995,0.6353591160220995,0.48995175809543146,0.5582576516056938,1.0,181,181,181,0,0,49,20,13
layer2.3.conv1_iter_14_eval_set0,2025-08-01 20:08:06,pruned_network,50,0.5,0.6264367816091954,0.6264367816091954,0.6264367816091954,0.49080530983859044,0.5329339972395645,1.0,174,174,174,0,0,43,19,5
layer2.3.conv1_iter_14_eval_set1,2025-08-01 20:08:45,pruned_network,50,0.5,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.4963259668183466,0.5352073602991595,1.0,126,126,126,0,0,44,18,14
layer2.3.conv2_iter_15_training_set,2025-08-02 12:16:54,pruned_network,50,0.5,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.5239203685967253,0.5614259691151852,1.0,173,173,173,0,0,49,18,11
layer2.3.conv2_iter_15_eval_set0,2025-08-02 12:17:39,pruned_network,50,0.5,0.5903614457831325,0.5903614457831325,0.5903614457831325,0.47548491632810475,0.44929118524082157,1.0,166,166,166,0,0,44,20,6
layer2.3.conv2_iter_15_eval_set1,2025-08-02 12:18:19,pruned_network,50,0.5,0.6290322580645161,0.6290322580645161,0.6290322580645161,0.4930508757931666,0.5346497764530551,1.0,124,124,124,0,0,43,21,13
layer3.0.conv1_iter_16_training_set,2025-08-03 08:34:29,pruned_network,50,0.5,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.419279824333978,0.43444279091852905,1.0,154,154,154,0,0,49,12,18
layer3.0.conv1_iter_16_eval_set0,2025-08-03 08:35:13,pruned_network,50,0.5,0.5083798882681564,0.5083798882681564,0.5083798882681564,0.40710356284451166,0.4317079089079476,1.0,179,179,179,0,0,43,16,11
layer3.0.conv1_iter_16_eval_set1,2025-08-03 08:35:54,pruned_network,50,0.5,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.41202960648639086,0.3303047911505736,1.0,152,152,152,0,0,37,14,12
layer3.0.conv2_iter_17_training_set,2025-08-03 21:52:26,pruned_network,50,0.5,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.4380254679647308,0.43584670626707533,1.0,130,130,130,0,0,46,11,11
